"id","x","y"
"110",151,100
"110",156,98
"110",160,102
"110",167,107
"110",173,111
"110",179,113
"110",186,114
"110",192,117
"110",196,120
"110",200,125
"110",202,132
"110",204,141
"110",205,148
"110",205,163
"111",69,201
"111",71,186
"111",73,171
"111",74,164
"111",83,160
"111",90,156
"111",93,153
"111",96,156
"111",98,160
"111",97,188
"111",94,203
"111",91,204
"111",87,200
"111",81,199
"111",75,200
"111",70,202
"111",69,201
"112",96,244
"112",103,226
"112",103,217
"112",98,191
"112",103,193
"112",110,193
"112",116,192
"112",124,186
"112",130,183
"112",133,182
"112",139,182
"112",140,258
"112",133,258
"112",129,262
"112",125,268
"112",119,272
"112",113,275
"112",105,275
"112",106,260
"112",102,251
"112",96,244
"113",140,182
"113",152,183
"113",158,188
"113",166,193
"113",178,193
"113",181,191
"113",177,210
"113",175,219
"113",176,226
"113",183,246
"113",177,250
"113",173,258
"113",172,262
"113",173,270
"113",174,275
"113",165,275
"113",158,272
"113",150,262
"113",143,258
"113",140,257
"113",140,182
"114",205,164
"114",210,202
"114",202,200
"114",194,199
"114",186,205
"114",181,176
"114",181,160
"114",183,155
"114",184,154
"114",187,154
"114",193,158
"114",203,163
"114",205,164
"115",64,218
"115",67,213
"115",69,210
"115",69,203
"115",78,200
"115",85,200
"115",92,205
"115",91,220
"115",87,222
"115",72,222
"115",64,218
"116",215,218
"116",213,213
"116",210,210
"116",211,204
"116",203,200
"116",194,200
"116",187,205
"116",187,217
"116",188,221
"116",192,223
"116",198,223
"116",202,223
"116",209,222
"116",215,218
"117",50,272
"117",56,245
"117",62,223
"117",64,218
"117",71,222
"117",88,223
"117",91,221
"117",90,228
"117",88,236
"117",83,246
"117",78,258
"117",73,270
"117",69,277
"117",63,274
"117",58,273
"117",50,272
"118",228,272
"118",220,235
"118",218,224
"118",215,218
"118",207,223
"118",202,224
"118",197,224
"118",191,223
"118",188,222
"118",191,232
"118",195,245
"118",202,261
"118",211,278
"118",214,275
"118",220,273
"118",228,272
"119",44,293
"119",46,287
"119",50,273
"119",60,273
"119",65,275
"119",68,278
"119",63,291
"119",61,297
"119",57,299
"119",52,300
"119",44,293
"120",96,245
"120",87,268
"120",84,284
"120",85,307
"120",97,292
"120",102,282
"120",105,274
"120",106,260
"120",102,251
"120",96,245
"121",140,258
"121",133,259
"121",128,263
"121",124,268
"121",120,273
"121",114,275
"121",105,275
"121",104,279
"121",114,284
"121",119,288
"121",127,297
"121",133,303
"121",135,304
"121",139,305
"121",140,258
"122",175,276
"122",165,276
"122",159,272
"122",154,268
"122",150,262
"122",145,259
"122",142,258
"122",140,258
"122",140,304
"122",143,304
"122",148,302
"122",153,297
"122",156,292
"122",161,287
"122",167,283
"122",172,280
"122",175,279
"122",175,276
"123",183,245
"123",178,251
"123",175,257
"123",173,260
"123",173,269
"123",175,279
"123",181,290
"123",187,299
"123",194,307
"123",194,281
"123",189,259
"123",183,245
"124",211,278
"124",218,296
"124",223,299
"124",227,299
"124",235,293
"124",229,273
"124",220,273
"124",214,275
"124",211,278
"125",22,318
"125",22,315
"125",28,310
"125",31,305
"125",44,293
"125",51,300
"125",57,300
"125",61,298
"125",61,314
"125",60,321
"125",60,337
"125",58,343
"125",57,344
"125",56,343
"125",55,327
"125",49,347
"125",46,347
"125",45,346
"125",42,347
"125",41,347
"125",41,327
"125",38,340
"125",35,345
"125",34,345
"125",34,339
"125",36,328
"125",37,311
"125",28,319
"125",22,318
"126",99,397
"126",88,345
"126",84,317
"126",85,308
"126",99,289
"126",104,279
"126",115,286
"126",121,291
"126",130,301
"126",135,304
"126",139,305
"126",139,312
"126",135,340
"126",135,380
"126",133,400
"126",124,398
"126",112,395
"126",103,397
"126",99,397
"127",146,401
"127",143,380
"127",143,343
"127",141,319
"127",140,312
"127",140,305
"127",144,304
"127",148,302
"127",154,296
"127",159,289
"127",165,284
"127",171,281
"127",175,280
"127",180,289
"127",185,297
"127",190,304
"127",194,307
"127",194,318
"127",192,336
"127",187,360
"127",183,382
"127",180,391
"127",179,398
"127",174,396
"127",168,396
"127",161,397
"127",154,397
"127",146,401
"128",218,297
"128",218,315
"128",219,320
"128",220,338
"128",221,343
"128",223,343
"128",224,327
"128",231,347
"128",234,347
"128",235,346
