"id","x","y"
"201",120,34
"201",120,27
"201",123,21
"201",131,15
"201",140,13
"201",146,13
"201",146,38
"201",138,38
"201",130,37
"201",124,36
"201",121,36
"201",120,34
"202",171,24
"202",172,36
"202",159,37
"202",146,37
"202",147,14
"202",155,14
"202",164,17
"202",171,24
"203",121,46
"203",120,39
"203",120,35
"203",128,38
"203",136,39
"203",146,38
"203",146,82
"203",132,82
"203",129,81
"203",128,76
"203",125,73
"203",123,69
"203",122,61
"203",119,58
"203",116,53
"203",115,49
"203",115,45
"203",117,42
"203",120,43
"203",121,46
"204",164,81
"204",165,75
"204",169,70
"204",170,62
"204",176,53
"204",178,45
"204",175,42
"204",172,44
"204",170,46
"204",172,40
"204",172,36
"204",159,37
"204",147,38
"204",147,82
"204",164,81
"205",146,82
"205",147,105
"205",141,104
"205",131,100
"205",125,95
"205",128,92
"205",128,81
"205",133,83
"205",146,82
"206",164,82
"206",164,92
"206",167,95
"206",149,105
"206",148,105
"206",147,84
"206",146,83
"206",161,83
"206",164,82
"207",124,96
"207",131,99
"207",129,107
"207",126,116
"207",122,125
"207",115,136
"207",105,148
"207",99,154
"207",91,159
"207",87,161
"207",78,161
"207",70,159
"207",67,158
"207",66,147
"207",67,138
"207",70,128
"207",74,120
"207",78,115
"207",89,109
"207",98,108
"207",124,96
"208",131,100
"208",127,115
"208",122,127
"208",115,138
"208",108,146
"208",101,153
"208",91,160
"208",121,165
"208",146,165
"208",146,106
"208",131,100
"209",161,99
"209",147,106
"209",146,165
"209",175,165
"209",201,160
"209",198,158
"209",187,149
"209",179,139
"209",172,127
"209",167,116
"209",163,106
"209",161,99
"210",216,116
"210",208,111
"210",202,109
"210",194,108
"210",167,96
"210",162,99
"210",165,112
"210",170,123
"210",177,134
"210",184,144
"210",192,152
"210",199,159
"210",203,160
"210",211,161
"210",219,160
"210",225,159
"210",227,142
"210",224,130
"210",220,122
"210",216,116
"211",90,204
"211",94,191
"211",95,184
"211",90,162
"211",85,160
"211",77,161
"211",71,160
"211",67,159
"211",68,169
"211",67,176
"211",66,187
"211",66,204
"211",73,200
"211",83,200
"211",90,204
"212",91,161
"212",96,188
"212",98,201
"212",99,215
"212",100,226
"212",114,228
"212",128,232
"212",146,231
"212",146,166
"212",133,166
"212",124,166
"212",112,164
"212",102,162
"212",91,161
"213",201,161
"213",197,184
"213",195,196
"213",194,210
"213",194,226
"213",172,230
"213",148,231
"213",147,166
"213",160,165
"213",173,165
"213",190,162
"213",201,161
"214",227,202
"214",227,184
"214",226,175
"214",225,168
"214",226,163
"214",225,159
"214",212,161
"214",201,159
"214",198,161
"214",197,169
"214",197,175
"214",198,182
"214",201,193
"214",203,206
"214",208,202
"214",213,200
"214",217,200
"214",221,200
"214",227,202
"215",61,218
"215",66,222
"215",80,222
"215",86,220
"215",87,214
"215",90,204
"215",83,201
"215",72,201
"215",66,204
"215",66,209
"215",61,218
"216",233,218
"216",227,222
"216",213,222
"216",207,219
"216",206,213
"216",204,206
"216",210,201
"216",220,200
"216",225,201
"216",227,203
"216",228,209
"216",233,218
"217",69,271
"217",80,250
"217",84,242
"217",86,233
"217",87,221
"217",81,223
"217",70,222
"217",63,221
"217",61,218
"217",58,224
"217",57,233
"217",56,241
"217",54,252
"217",52,260
