"id","x","y"
"125",38,288
"125",44,292
"125",52,293
"125",56,290
"125",56,301
"125",54,309
"125",52,314
"125",50,314
"125",47,327
"125",44,335
"125",43,337
"125",41,336
"125",43,328
"125",45,319
"125",43,320
"125",41,325
"125",40,330
"125",36,338
"125",34,339
"125",32,337
"125",29,338
"125",29,333
"125",33,318
"125",32,315
"125",31,315
"125",30,321
"125",29,328
"125",27,333
"125",25,335
"125",26,324
"125",28,310
"125",28,297
"125",27,297
"125",20,302
"125",13,303
"125",13,301
"125",20,295
"125",26,288
"125",31,285
"125",36,282
"125",38,282
"126",86,313
"126",87,329
"126",89,344
"126",94,361
"126",98,382
"126",102,393
"126",102,400
"126",108,397
"126",122,396
"126",129,400
"126",135,402
"126",136,374
"126",136,337
"126",139,320
"126",139,311
"126",132,309
"126",127,306
"126",119,299
"126",114,294
"126",111,293
"126",108,297
"126",105,301
"126",103,303
"126",100,306
"126",96,308
"126",94,309
"126",90,311
"126",86,313
"127",142,311
"127",143,322
"127",144,334
"127",144,344
"127",144,358
"127",145,371
"127",146,382
"127",145,394
"127",147,402
"127",152,399
"127",159,397
"127",163,396
"127",173,396
"127",176,398
"127",179,399
"127",180,392
"127",182,380
"127",187,361
"127",190,349
"127",194,333
"127",194,327
"127",195,313
"127",188,310
"127",181,306
"127",175,300
"127",173,296
"127",172,293
"127",168,295
"127",164,297
"127",161,300
"127",157,304
"127",154,308
"127",148,310
"127",142,311
"128",243,282
"128",249,284
"128",255,289
"128",260,294
"128",268,301
"128",267,304
"128",262,304
"128",255,298
"128",253,296
"128",256,328
"128",257,336
"128",255,336
"128",251,323
"128",249,315
"128",248,316
"128",250,327
"128",252,335
"128",252,339
"128",250,338
"128",249,337
"128",248,337
"128",248,340
"128",246,340
"128",239,323
"128",236,318
"128",238,325
"128",239,333
"128",240,337
"128",235,331
"128",233,323
"128",232,317
"128",230,314
"128",227,310
"128",226,300
"128",225,290
"128",228,292
"128",237,292
"128",240,290
"128",243,287
"128",243,282
"129",99,431
"129",100,418
"129",102,409
"129",102,401
"129",107,397
"129",122,397
"129",129,400
"129",134,403
"129",134,411
"129",133,419
"129",132,425
"129",130,428
"129",130,434
"129",123,437
"129",111,437
"129",105,435
"129",105,435
"129",99,431
"130",146,403
"130",147,412
"130",149,422
"130",152,429
"130",152,434
"130",162,437
"130",172,436
"130",178,434
"130",183,431
"130",181,417
"130",179,407
"130",179,400
"130",171,397
"130",165,395
"130",160,396
"130",154,399
"130",150,400
"130",146,403
"131",98,432
"131",96,444
"131",95,454
"131",96,463
"131",99,475
"131",107,503
"131",115,501
"131",120,499
"131",125,500
"131",129,501
"131",130,495
"131",131,476
"131",131,450
"131",130,441
"131",129,436
"131",121,437
"131",113,437
"131",106,436
"131",98,432
"132",151,435
"132",151,453
"132",150,465
"132",150,481
"132",151,491
"132",151,501
"132",156,500
"132",164,499
"132",170,502
"132",174,504
"132",178,491
"132",183,474
"132",185,463
"132",185,449
"132",184,436
"132",183,431
"132",179,435
"132",171,438
"132",159,437
"132",151,435
"133",107,504
"133",113,526
"133",113,531
"133",122,531
"133",129,531
"133",131,530
"133",131,526
"133",130,515
"133",129,502
"133",125,500
"133",118,500
"133",114,501
"133",107,504
"134",149,530
"134",150,525
"134",152,516
"134",151,501
"134",156,501
"134",157,499
"134",165,499
"134",167,501
"134",170,502
"134",174,504
"134",168,527
"134",168,532
"134",162,532
"134",155,532
"134",149,530
"135",133,531
"135",131,539
"135",131,546
"135",132,554
"135",133,560
"135",130,562
"135",124,562
"135",123,561
"135",110,561
"135",107,559
"135",103,559
"135",103,557
"135",107,553
"135",112,542
"135",112,540
"135",111,538
"135",113,531
"135",113,531
"135",133,531
"136",149,530
"136",149,539
"136",151,544
"136",151,551
"136",148,558
"136",150,562
"136",156,563
"136",159,561
"136",172,562
"136",174,559
"136",178,559
"136",178,556
"136",172,549
"136",169,543
"136",169,540
"136",170,537
"136",168,532
"136",153,531
"136",149,530
